Delito;juzgado;tip_ley;capítulo
Extorsión;Juzgado de Primera Instancia;Ley del Ramo Penal;De la extorsión y del chantaje (Código Penal)
Asociación ilícita;Juzgado de Primera Instancia;Ley Contra la Delincuencia Organizada;Delitos de la Delincuencia Organizada (Ley Contra la Delincuencia Organizada)
Obstrucción extorsiva de tránsito;Juzgado de Primera Instancia;Ley Contra la Delincuencia Organizada;Delitos de la Delincuencia Organizada (Ley Contra la Delincuencia Organizada)
Asesinato;Juzgado de Mayor Riesgo;Ley del Ramo Penal;Homicidios calificados (Código Penal)
Conspiración;Juzgado de Mayor Riesgo o Juzgado de Primera Instancia Penal (según el delito conspirado);Ley Contra la Delincuencia Organizada;Delitos de la Delincuencia Organizada (Ley Contra la Delincuencia Organizada)
Encubrimiento propio;Juzgado de Paz Penal;Ley del Ramo Penal;Del encubrimiento (Código Penal)
Portación ilegal de armas de fuego de uso civil y/o deportivas;Juzgado de Primera Instancia;Ley de Armas y Municiones;De la portación (Ley de Armas y Munciones)
Robo agravado;Juzgado de Primera Instancia;Ley del Ramo Penal;Robo (Código Penal)
Lavado de dinero u otros activos;Juzgado de Mayor Riesgo;Ley Contra el Lavado de Dinero u Otros Activos;Del delito de los responsables y de las penas (Ley Contra el Lavado de Dinero u Otros Activos)
Violación con agravación de la pena;Juzgado de Primera Instancia;Ley Contra la Violencia Sexual Explotación y Trata de Personas;De la violencia sexual (Ley Contra Violencia Sexual Explotación y Trata de Personas)
Homicidio simple;Juzgado de Primera Instancia;Ley del Ramo Penal;Homicidios simples (Código Penal)
Exacciones intimidatorias;Juzgado de Primera Instancia;Ley Contra la Delincuencia Organizada;Delitos de la Delincuencia Organizada (Ley Contra la Delincuencia Organizada)
Promoción o estimulo a la drogadicción;Juzgado de Primera Instancia;Ley Contra la Narcoactividad;De los delitos y de sus penas (Ley contra la Narcoactividad)
Robo de equipo terminal móvil;Juzgado de Paz Movil;Ley de Equipo Terminales Móviles;Delitos sanciones y prohibiciones (Ley de Equipos Terminales Móviles)
