Delito,Cod,PENA,pena_min,pena_max,unidad,mul_min,mul_max,Moneda,Observacion
Extorsión,1,Prision,6,12,años,,,Q,
Asociación ilícita,2,Prision ,6,8,años,,,Q,
Obstrucción extorsiva de tránsito,3,Prision ,6,8,años,,,Q,
Asesinato,4,Prision,25,50,años,,,Q,
Conspiración,5,Proporcional,,,años,,,Q,Pena depende del delito que se conspira
Encubrimiento propio,6,Prision,0.166,5,años,,,Q,
Portación ilegal de armas de fuego de uso civil y/o deportivas,7,Prision,8,10,años,,,Q,
Robo agravado,8,Prision,6,12,años,,,Q,
Lavado de dinero u otros activos,9,Prision ,6,20,años,,,Q,
Violación con agravación de la pena,10,Prision ,,,años,,,Q,
Homicidio simple,11,Prision,15,40,años,,,Q,
Exacciones intimidatorias,12,Prision,6,8,años,,,Q,
Promoción o estimulo a la drogadicción,13,Prision,2,5,años,5.000,100.000,Q,
Robo de equipo terminal móvil,14,Prision,6,15,años,,,Q,
Violación,15,Prision,8,12,años,,,Q,
Robo simple,16,Prision,3,12,años,,,Q,
Agresión sexual,17,Prision,5,8,años,,,Q,
Hurto agravado,18,Prision,2,10,años,,,Q,
Agresión sexual con agravación de la pena,19,Proporcional,,,años,,,Q,Se aplica aumento de 2/3 a la pena base según agravantes
Posesión para el consumo,20,Prision,0.333,2,años,200,10.000,Q,
Plagio o secuestro,21,Prision,25,50,años,,,Q,
Comercio tráfico y almacenamiento ilícito,22,Prision,12,20,años,50.000,1.000.000,Q,
Transporte y/o traslado ilegal de armas de fuego,23,Prision,8,10,años,,,Q,
Lesiones graves,24,Prision,3,10,años,,,Q,
Maltrato contra personas menores de edad,25,Prision,2,5,años,,,Q,
Promoción y fomento,26,Prision ,6,10,años,10.000,100.000,Q,
Tenencia o portación de arma de fuego con número de registro alterado borrado o no legalmente marcada por la DIGECAM,27,Prision,10,12,años,,,Q,
Tenencia ilegal de municiones,28,Prision,5,8,años,,,Q,
Casos especiales de estafa,29,Prision,0.5,4,años,200,10.000,Q,
Amenazas,30,Prision,0.5,3,años,,,Q,
Lesiones leves,31,Prision,0.5,3,años,,,Q,
Portación ilegal de armas hechizas o de fabricación artesanal,32,Prision ,10,15,años,,,Q,
Hurto simple,33,Prision,1,6,años,,,Q,
Homicidio culposo,34,Prision,2,5,años,,,Q,
Lesiones culposas,35,Prision,0.25,2,años,,,Q,
Supresión y alteración de estado civil,36,Prision,5,8,años,100.000,500.000,Q,
Transporte y/o traslado ilegal de municiones,37,Prision,3,5,años,,,Q,
Tenencia ilegal de armas de fuego artesanales o hechizas armas con número de registro alterado armas con número borrado o no legalmente marcadas por la DIGECAM,38,Prision,5,8,años,,,Q,
Faltas contra las personas,39,Arresto,20,60,dias,,,Q,
Trata de personas,40,Prision,8,18,años,300.000,500.000,Q,
Disparos sin causa justificada,41,Prision,1,3,años,,,Q,
Asociaciones delictivas,42,Prision,6,10,años,1.500,3.000,Q,
Encubrimiento personal,43,Prision,2,5,años,1.000,100.000,Q,
Homicidio preter-intencional,44,Prision,2,10,años,,,,
Homicidio estado de emoción violenta,45,Prision,2,8,años,,,,
Uso de equipos terminales móviles en centros de privación de libertad,46,Prision,6,10,años,,,,
Faltas contra las buenas costumbres,47,Arresto,10,50,dias,,,,
Posesión de material pornográfico de personas menores de edad,48,Prision,2,4,años,,,,
Facilitación de medios,49,Prision,5,10,años,10.000,100.000,Q,
Promoción facilitación o favorecimiento de prostitución,50,Prision,5,10,años,1.000,100.000,Q,
Actividades sexuales remuneradas con personas menores de edad,51,Prision,5,8,años,,,,
Faltas contra el orden público,52,Arresto,20,70,dias,,,,
